model,task_id,outcome_category,failure_type,success,sloc,raw_lines,char_count,valid_syntax,ast_nodes,ast_depth,num_loops,num_conditionals,num_functions,num_assignments,cyclomatic_complexity
gemini-3.1-flash-lite,00576224,both_correct,none,True,16,58,1706,True,230,13,4,0,1,10,5
gemini-3.1-flash-lite,009d5c81,both_failed,spurious_overfitting,False,19,32,1074,True,231,11,1,3,1,11,5
gemini-3.1-flash-lite,00dbd492,semantic_recovery,none,True,47,65,2821,True,577,14,8,10,1,22,24
gemini-3.1-flash-lite,03560426,both_correct,none,True,36,89,3975,True,478,12,7,3,1,22,12
gemini-3.1-flash-lite,05a7bcf2,both_failed,representation_ceiling,False,32,57,2046,True,288,11,8,5,1,12,14
gemini-3.1-flash-lite,0607ce86,both_failed,representation_ceiling,False,26,54,2418,True,263,13,6,3,1,13,11
gemini-3.1-flash-lite,0692e18c,both_failed,representation_ceiling,False,12,16,685,True,176,15,4,2,1,4,9
gemini-3.1-flash-lite,070dd51e,both_failed,representation_ceiling,False,34,58,2386,True,433,12,8,5,1,17,16
gemini-3.1-flash-lite,08573cc6,both_failed,representation_ceiling,False,40,77,2504,True,470,14,4,9,1,24,15
gemini-3.1-flash-lite,0934a4d8,both_failed,representation_ceiling,False,24,63,2391,True,258,10,3,6,1,15,10
gemini-3.1-flash-lite,09c534e7,both_failed,representation_ceiling,False,35,59,2388,True,456,14,8,5,1,15,17
gemini-3.1-flash-lite,0a1d4ef5,both_failed,representation_ceiling,False,36,56,2141,True,422,12,7,3,1,16,14
gemini-3.1-flash-lite,0a2355a6,both_failed,representation_ceiling,False,45,75,3041,True,566,14,6,7,4,19,17
gemini-3.1-flash-lite,0b17323b,both_correct,none,True,23,42,1364,True,247,10,3,3,1,11,8
gemini-3.1-flash-lite,0bb8deee,both_correct,none,True,66,87,2968,True,903,12,5,12,4,33,18
gemini-3.1-flash-lite,0becf7df,semantic_recovery,none,True,18,73,2093,True,227,10,2,1,1,12,5
gemini-3.1-flash-lite,0c786b71,semantic_recovery,none,True,6,11,379,True,70,10,1,0,1,2,2
gemini-3.1-flash-lite,0c9aba6e,semantic_recovery,none,True,20,57,1917,True,185,11,3,2,1,8,7
gemini-3.1-flash-lite,0d87d2a6,both_failed,representation_ceiling,False,27,46,1531,True,284,10,7,5,1,8,13
gemini-3.1-flash-lite,0e671a1a,both_correct,none,True,26,63,2197,True,353,12,4,5,2,10,10
gemini-3.1-flash-lite,0f63c0b9,both_failed,representation_ceiling,False,21,77,2636,True,286,12,5,2,1,10,9
gemini-3.1-flash-lite,103eff5b,both_failed,representation_ceiling,False,51,76,3024,True,668,14,13,9,1,23,26
gemini-3.1-flash-lite,11e1fe23,both_failed,representation_ceiling,False,23,66,2392,True,321,12,5,3,1,12,10
gemini-3.1-flash-lite,12422b43,both_failed,representation_ceiling,False,32,52,1911,True,302,12,5,5,1,13,11
gemini-3.1-flash-lite,12997ef3,semantic_recovery,none,True,51,69,2399,True,534,15,10,8,1,18,19
gemini-3.1-flash-lite,12eac192,both_failed,representation_ceiling,False,34,42,1561,True,333,13,7,7,1,12,17
gemini-3.1-flash-lite,136b0064,both_failed,representation_ceiling,False,45,67,2864,True,565,15,8,5,2,22,18
gemini-3.1-flash-lite,13713586,both_failed,representation_ceiling,False,64,87,3470,True,796,14,13,9,1,27,25
gemini-3.1-flash-lite,137f0df0,both_failed,representation_ceiling,False,36,55,2044,True,398,11,8,10,1,18,20
gemini-3.1-flash-lite,140c817e,both_correct,none,True,23,37,1072,True,267,11,8,2,1,10,12
gemini-3.1-flash-lite,14754a24,both_failed,representation_ceiling,False,41,61,2730,True,486,16,9,11,1,16,28
gemini-3.1-flash-lite,15113be4,both_failed,representation_ceiling,False,55,82,3623,True,705,16,15,9,1,19,26
gemini-3.1-flash-lite,15663ba9,both_failed,representation_ceiling,False,38,44,1957,True,526,15,6,7,1,18,16
gemini-3.1-flash-lite,15696249,both_failed,spurious_overfitting,False,48,65,3031,True,207,12,4,3,1,7,8
gemini-3.1-flash-lite,16b78196,both_failed,representation_ceiling,False,69,94,3908,True,976,15,13,8,1,36,28
gemini-3.1-flash-lite,17b80ad2,both_failed,representation_ceiling,False,19,42,1595,True,200,12,3,3,1,9,8
gemini-3.1-flash-lite,17cae0c1,both_correct,none,True,34,87,3161,True,358,11,6,0,1,7,7
gemini-3.1-flash-lite,18419cfa,semantic_recovery,none,True,41,61,2892,True,579,15,9,6,1,20,19
gemini-3.1-flash-lite,184a9768,both_failed,representation_ceiling,False,82,99,4164,True,1041,15,14,10,3,36,31
gemini-3.1-flash-lite,195ba7dc,both_correct,none,True,29,39,1362,True,137,10,2,1,1,6,5
gemini-3.1-flash-lite,1990f7a8,both_failed,representation_ceiling,False,37,56,2317,True,570,14,8,2,1,21,13
gemini-3.1-flash-lite,19bb5feb,semantic_recovery,none,True,31,49,2108,True,400,12,4,2,1,19,8
gemini-3.1-flash-lite,1a2e2828,both_correct,none,True,53,123,4829,True,488,13,11,11,1,19,25
gemini-3.1-flash-lite,1a6449f1,semantic_recovery,none,True,31,51,2266,True,330,16,8,6,1,13,17
gemini-3.1-flash-lite,1acc24af,both_failed,representation_ceiling,False,40,63,2411,True,432,14,10,7,1,15,18
gemini-3.1-flash-lite,1c02dbbe,both_failed,representation_ceiling,False,32,61,2653,True,438,15,8,8,1,17,18
gemini-3.1-flash-lite,1c0d0a4b,semantic_recovery,none,True,13,46,1775,True,158,12,4,1,1,5,6
gemini-3.1-flash-lite,1c56ad9f,both_failed,representation_ceiling,False,24,27,950,True,310,13,4,10,1,15,15
gemini-3.1-flash-lite,1d0a4b61,both_failed,representation_ceiling,False,38,50,1920,True,362,13,7,4,1,18,12
gemini-3.1-flash-lite,1d398264,both_failed,representation_ceiling,False,47,74,2324,True,564,11,12,9,1,25,24
gemini-3.1-flash-lite,1da012fc,both_failed,spurious_overfitting,False,72,118,4711,True,856,15,18,10,3,25,34
gemini-3.1-flash-lite,1e81d6f9,both_failed,representation_ceiling,False,17,66,2995,True,190,11,4,3,1,6,10
gemini-3.1-flash-lite,1e97544e,both_failed,representation_ceiling,False,30,43,1711,True,250,11,5,2,1,12,8
gemini-3.1-flash-lite,2037f2c7,both_failed,representation_ceiling,False,42,63,2522,True,565,15,6,4,2,23,15
gemini-3.1-flash-lite,2072aba6,both_correct,none,True,24,31,1080,True,201,12,2,1,1,9,4
gemini-3.1-flash-lite,20818e16,both_failed,representation_ceiling,False,64,93,3642,True,803,14,13,5,1,36,21
gemini-3.1-flash-lite,20981f0e,both_failed,representation_ceiling,False,28,77,3270,True,312,13,8,3,1,12,12
gemini-3.1-flash-lite,212895b5,both_failed,representation_ceiling,False,40,62,2350,True,503,12,6,11,1,14,24
gemini-3.1-flash-lite,21f83797,both_correct,none,True,23,34,927,True,287,10,6,1,1,13,8
gemini-3.1-flash-lite,22a4bbc2,both_failed,representation_ceiling,False,54,73,3248,True,494,14,8,6,1,17,19
gemini-3.1-flash-lite,25094a63,both_failed,representation_ceiling,False,36,60,2459,True,446,16,10,4,2,17,19
gemini-3.1-flash-lite,2546ccf6,both_failed,representation_ceiling,False,33,55,2239,True,491,12,7,2,1,19,11
gemini-3.1-flash-lite,256b0a75,both_failed,representation_ceiling,False,44,71,2975,True,599,14,11,4,1,22,19
gemini-3.1-flash-lite,2685904e,both_failed,representation_ceiling,False,34,67,2379,True,283,10,6,7,1,20,14
gemini-3.1-flash-lite,2697da3f,both_failed,representation_ceiling,False,36,60,2100,True,445,14,7,11,1,22,19
gemini-3.1-flash-lite,2753e76c,both_failed,representation_ceiling,False,41,59,2299,True,533,14,7,4,1,24,15
gemini-3.1-flash-lite,27a77e38,both_failed,spurious_overfitting,False,16,39,1397,True,195,11,1,1,1,11,3
gemini-3.1-flash-lite,27f8ce4f,semantic_recovery,none,True,20,46,1746,True,214,14,7,2,1,9,10
gemini-3.1-flash-lite,281123b4,semantic_recovery,none,True,21,48,1705,True,275,13,4,3,1,9,8
gemini-3.1-flash-lite,292dd178,both_failed,representation_ceiling,False,53,73,3341,True,786,14,12,6,1,27,25
gemini-3.1-flash-lite,29700607,semantic_recovery,none,True,32,49,1845,True,344,12,9,4,1,13,15
gemini-3.1-flash-lite,2a5f8217,both_failed,representation_ceiling,False,51,69,2574,True,528,14,12,6,1,23,21
gemini-3.1-flash-lite,2b01abd0,both_failed,spurious_overfitting,False,32,52,1718,True,324,12,4,6,1,17,13
gemini-3.1-flash-lite,2c0b0aff,both_failed,representation_ceiling,False,45,70,2802,True,571,14,10,3,1,23,16
