task_id,solved_count,total_evals,train_conv_count,test_succ_count,solve_rate,train_conv_rate
00576224,6,8,6,6,0.75,0.75
009d5c81,5,8,6,5,0.625,0.75
00dbd492,6,8,6,6,0.75,0.75
03560426,6,8,6,6,0.75,0.75
05a7bcf2,1,8,2,1,0.125,0.25
0607ce86,4,8,4,4,0.5,0.5
0692e18c,5,8,5,5,0.625,0.625
070dd51e,4,8,4,4,0.5,0.5
08573cc6,3,8,4,3,0.375,0.5
0934a4d8,0,8,2,0,0.0,0.25
09c534e7,3,8,3,3,0.375,0.375
0a1d4ef5,3,8,3,4,0.375,0.375
0a2355a6,2,8,2,2,0.25,0.25
0b17323b,6,8,6,6,0.75,0.75
0bb8deee,6,8,6,6,0.75,0.75
0becf7df,5,8,5,5,0.625,0.625
0c786b71,8,8,8,8,1.0,1.0
0c9aba6e,5,8,5,5,0.625,0.625
0d87d2a6,0,8,5,0,0.0,0.625
0e671a1a,5,8,5,5,0.625,0.625
0f63c0b9,4,8,4,4,0.5,0.5
103eff5b,3,8,3,3,0.375,0.375
11e1fe23,1,8,5,1,0.125,0.625
12422b43,5,8,5,5,0.625,0.625
12997ef3,5,8,5,5,0.625,0.625
12eac192,4,8,4,4,0.5,0.5
136b0064,2,8,4,2,0.25,0.5
13713586,4,8,4,4,0.5,0.5
137f0df0,5,8,5,5,0.625,0.625
140c817e,6,8,6,6,0.75,0.75
14754a24,2,8,2,2,0.25,0.25
15113be4,3,8,3,3,0.375,0.375
15663ba9,3,8,3,3,0.375,0.375
15696249,4,8,6,4,0.5,0.75
16b78196,0,8,2,0,0.0,0.25
17b80ad2,4,8,4,4,0.5,0.5
17cae0c1,6,8,7,6,0.75,0.875
18419cfa,4,8,4,4,0.5,0.5
184a9768,1,8,1,1,0.125,0.125
195ba7dc,6,8,6,6,0.75,0.75
1990f7a8,4,8,5,4,0.5,0.625
19bb5feb,6,8,6,6,0.75,0.75
1a2e2828,7,8,7,7,0.875,0.875
1a6449f1,5,8,5,6,0.625,0.625
1acc24af,0,8,3,0,0.0,0.375
1c02dbbe,5,8,5,5,0.625,0.625
1c0d0a4b,6,8,6,6,0.75,0.75
1c56ad9f,3,8,4,3,0.375,0.5
1d0a4b61,3,8,3,3,0.375,0.375
1d398264,4,8,5,4,0.5,0.625
1da012fc,0,8,5,0,0.0,0.625
1e81d6f9,4,8,4,4,0.5,0.5
1e97544e,3,8,3,3,0.375,0.375
2037f2c7,3,8,4,3,0.375,0.5
2072aba6,8,8,8,8,1.0,1.0
20818e16,3,8,3,3,0.375,0.375
20981f0e,4,8,4,4,0.5,0.5
212895b5,1,8,1,1,0.125,0.125
21f83797,6,8,6,6,0.75,0.75
22a4bbc2,4,8,4,4,0.5,0.5
25094a63,1,8,4,1,0.125,0.5
2546ccf6,2,8,4,2,0.25,0.5
256b0a75,3,8,3,3,0.375,0.375
2685904e,5,8,5,5,0.625,0.625
2697da3f,4,8,4,4,0.5,0.5
2753e76c,4,8,4,4,0.5,0.5
27a77e38,4,8,6,4,0.5,0.75
27f8ce4f,7,8,7,7,0.875,0.875
281123b4,6,8,6,6,0.75,0.75
292dd178,5,8,5,5,0.625,0.625
29700607,6,8,6,6,0.75,0.75
2a5f8217,6,8,6,6,0.75,0.75
2b01abd0,5,8,6,5,0.625,0.75
2c0b0aff,2,8,2,2,0.25,0.25
2c737e39,4,8,6,4,0.5,0.75
2f0c5170,4,8,4,4,0.5,0.5
310f3251,6,8,6,6,0.75,0.75
3194b014,6,8,6,8,0.75,0.75
319f2597,5,8,5,5,0.625,0.625
31adaf00,1,8,3,1,0.125,0.375
31d5ba1a,6,8,6,6,0.75,0.75
32e9702f,5,8,5,5,0.625,0.625
332efdb3,8,8,8,8,1.0,1.0
3391f8c0,3,8,3,3,0.375,0.375
33b52de3,4,8,4,4,0.5,0.5
3490cc26,2,8,2,2,0.25,0.25
34b99a2b,6,8,6,6,0.75,0.75
351d6448,0,8,6,0,0.0,0.75
358ba94e,3,8,3,3,0.375,0.375
37d3e8b2,2,8,2,2,0.25,0.25
3979b1a8,5,8,5,5,0.625,0.625
3a301edc,4,8,4,4,0.5,0.5
3b4c2228,6,8,6,6,0.75,0.75
3d31c5b3,5,8,5,5,0.625,0.625
3ed85e70,0,8,1,0,0.0,0.125
3ee1011a,5,8,5,5,0.625,0.625
3f23242b,6,8,6,6,0.75,0.75
40f6cd08,3,8,3,3,0.375,0.375
414297c0,4,8,4,4,0.5,0.5
423a55dc,6,8,6,6,0.75,0.75
